auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn,threshold_method,quantile,seed,n_estimators,max_samples,val_size,fit_size
0.998524875640511,0.0011682242990654205,1.4687307229092619e-05,2.900989237329929e-05,0.0013879396968609836,0.15091312084284314,1,855,615166,68085,benign-q0.999,0.999,1,200,0.5,100000,500000
0.9038882935770143,0.5348106486100092,0.9999559380783127,0.6968969593989426,0.0961330863720555,0.11261818798528667,68083,59220,556801,3,label-tuned upper bound,,1,200,auto,100000,500000
0.9038882935770143,0.00194394945731411,0.00017624768674911142,0.00032319314830525593,0.010001282423813474,0.16337891849591824,12,6161,609860,68074,benign-q0.99,0.99,1,200,auto,100000,500000
0.9038882935770143,0.0035598705501618125,0.0001615603795200188,0.0003090929526806789,0.004998206229982419,0.16990407834527596,11,3079,612942,68075,benign-q0.995,0.995,1,200,auto,100000,500000
0.9038882935770143,0.0030911901081916537,8.812384337455571e-05,0.0001713624744741314,0.0031411266823695946,0.1795586451314679,6,1935,614086,68080,benign-q0.9975,0.9975,1,200,auto,100000,500000
0.9038882935770143,0.0036429872495446266,2.9374614458185237e-05,5.827930356232243e-05,0.0008879567417344539,0.21269592074433996,2,547,615474,68084,benign-q0.999,0.999,1,200,auto,100000,500000
0.9991865914378445,0.9921285093729045,0.9996475046265018,0.99587381481915,0.0008765934927543054,0.15167639023691626,68062,540,615481,24,label-tuned upper bound,,1,500,1.0,100000,500000
0.9991865914378445,0.8400473787461906,0.9999853126927709,0.913065343480739,0.021044737111234845,0.036084828656888335,68085,12964,603057,1,benign-q0.99,0.99,1,500,1.0,100000,500000
0.9991865914378445,0.9079536967886482,0.9999412507710836,0.9517299224156008,0.011204163494426326,0.06414369244623319,68082,6902,609119,4,benign-q0.995,0.995,1,500,1.0,100000,500000
0.9991865914378445,0.9579129553801342,0.9998531269277091,0.9784338102663974,0.004855353957089126,0.09726563747246507,68076,2991,613030,10,benign-q0.9975,0.9975,1,500,1.0,100000,500000
0.9991865914378445,0.9852779386218876,0.9996621919337308,0.9924179461382557,0.0016509177446872752,0.1390945244816627,68063,1017,615004,23,benign-q0.999,0.999,1,500,1.0,100000,500000
0.9979857165707,0.9817539304774268,0.999691566548189,0.9906415555684928,0.0020535014228411043,0.13473039099062634,68065,1265,614756,21,label-tuned upper bound,,1,500,0.5,100000,500000
0.9979857165707,0.8515715875974034,0.9999706253855418,0.9198240980295467,0.0192639536639173,0.04425092412866822,68084,11867,604154,2,benign-q0.99,0.99,1,500,0.5,100000,500000
0.9979857165707,0.9209572251833014,0.9998971888493964,0.958805137738719,0.009485066255858161,0.07688332736654793,68079,5843,610178,7,benign-q0.995,0.995,1,500,0.5,100000,500000
0.9979857165707,0.960748613287039,0.9997650030843345,0.9798685735261305,0.004514456487684673,0.10659997828339053,68070,2781,613240,16,benign-q0.9975,0.9975,1,500,0.5,100000,500000
0.9979857165707,0.0011862396204033216,1.4687307229092619e-05,2.901536363504476e-05,0.0013668365201835652,0.15054252886601577,1,842,615179,68085,benign-q0.999,0.999,1,500,0.5,100000,500000
0.905823361068741,0.5398656738904616,0.9999559380783127,0.7011745804518092,0.09419808740286452,0.11592787613673727,68083,58028,557993,3,label-tuned upper bound,,1,500,auto,100000,500000
0.905823361068741,0.0019113814074717638,0.0001615603795200188,0.0002979374602185778,0.009324357448853205,0.16423232983813318,11,5744,610277,68075,benign-q0.99,0.99,1,500,auto,100000,500000
0.905823361068741,0.0018703241895261845,8.812384337455571e-05,0.000168317109434174,0.005197874747776456,0.16941064211412316,6,3202,612819,68080,benign-q0.995,0.995,1,500,auto,100000,500000
0.905823361068741,0.0026455026455026454,8.812384337455571e-05,0.00017056599482616482,0.0036719527418708126,0.18127427455274092,6,2262,613759,68080,benign-q0.9975,0.9975,1,500,auto,100000,500000
0.905823361068741,0.006787330316742082,4.4061921687277854e-05,8.755545178613121e-05,0.0007126380431835928,0.20834159607192615,3,439,615582,68083,benign-q0.999,0.999,1,500,auto,100000,500000
0.9961054709699882,0.9659287640130552,0.9997503157771054,0.9825485724183723,0.0038975944001909024,0.10789529203155956,68069,2401,613620,17,label-tuned upper bound,,2,200,0.5,100000,500000
0.9961054709699882,0.8636156070830585,0.9999706253855418,0.9268046990920352,0.017453950433507948,0.04084512344797659,68084,10752,605269,2,benign-q0.99,0.99,2,200,0.5,100000,500000
0.9961054709699882,0.9290481064483112,0.9998531269277091,0.9631510812741846,0.008439647349684507,0.07973562816751573,68076,5199,610822,10,benign-q0.995,0.995,2,200,0.5,100000,500000
0.9961054709699882,0.003587443946188341,0.00011749845783274095,0.0002275442289094943,0.003607019890555679,0.10983598389737628,8,2222,613799,68078,benign-q0.9975,0.9975,2,200,0.5,100000,500000
0.9961054709699882,0.001092896174863388,1.4687307229092619e-05,2.8985087172649674e-05,0.001483715652550806,0.1473487296811311,1,914,615107,68085,benign-q0.999,0.999,2,200,0.5,100000,500000
0.8884967822987642,0.497617342240283,0.9999853126927709,0.6645421359829777,0.11158223502120869,0.09701712732857859,68085,68737,547284,1,label-tuned upper bound,,2,200,auto,100000,500000
0.8884967822987642,0.0009658725048293626,8.812384337455571e-05,0.000161511749979811,0.010074331881542999,0.16150840294520696,6,6206,609815,68080,benign-q0.99,0.99,2,200,auto,100000,500000
0.8884967822987642,0.0017507002801120449,7.343653614546309e-05,0.00014096022102562657,0.004628088977486157,0.17166150363359517,5,2851,613170,68081,benign-q0.995,0.995,2,200,auto,100000,500000
0.8884967822987642,0.0019193857965451055,4.4061921687277854e-05,8.614624761303106e-05,0.0025323812012902156,0.1774933927514984,3,1560,614461,68083,benign-q0.9975,0.9975,2,200,auto,100000,500000
0.8884967822987642,0.004373177842565598,4.4061921687277854e-05,8.724480893386844e-05,0.0011087284362059086,0.1852122930684147,3,683,615338,68083,benign-q0.999,0.999,2,200,auto,100000,500000
0.9975735017092073,0.9777343637774011,0.9996768792409599,0.9885838779956427,0.0025161479884614323,0.11542166845972324,68064,1550,614471,22,label-tuned upper bound,,2,500,1.0,100000,500000
0.9975735017092073,0.8545662215081835,0.9999853126927709,0.9215744663571516,0.018809423704711364,0.03341000490761179,68085,11587,604434,1,benign-q0.99,0.99,2,500,1.0,100000,500000
0.9975735017092073,0.9206458679865309,0.9998971888493964,0.9586363732372054,0.00952564928793012,0.07091989405291291,68079,5868,610153,7,benign-q0.995,0.995,2,500,1.0,100000,500000
0.9975735017092073,0.9664101763252789,0.9997943776987928,0.9828188617134936,0.0038407781552901605,0.10120940859696115,68072,2366,613655,14,benign-q0.9975,0.9975,2,500,1.0,100000,500000
0.9975735017092073,0.002173913043478261,2.9374614458185237e-05,5.7965973973277685e-05,0.0014902089376823192,0.13702900093233517,2,918,615103,68084,benign-q0.999,0.999,2,500,1.0,100000,500000
0.9960763671792889,0.9657104755419362,0.9997796903915636,0.9824498102097075,0.003923567540716956,0.10841624021338092,68071,2417,613604,15,label-tuned upper bound,,2,500,0.5,100000,500000
0.9960763671792889,0.8580106110824061,0.9999706253855418,0.92356735419196,0.018289960894190296,0.04038948416342608,68084,11267,604754,2,benign-q0.99,0.99,2,500,0.5,100000,500000
0.9960763671792889,0.9279842964053491,0.9998531269277091,0.9625790943476263,0.008576006337446289,0.08197922422193321,68076,5283,610738,10,benign-q0.995,0.995,2,500,0.5,100000,500000
0.9960763671792889,0.003987594151528578,0.00013218576506183357,0.00025588900103777206,0.003649226243910516,0.11066223619442632,9,2248,613773,68077,benign-q0.9975,0.9975,2,500,0.5,100000,500000
0.9960763671792889,0.001072961373390558,1.4687307229092619e-05,2.8977947781738096e-05,0.0015113121143597377,0.15005081217814048,1,931,615090,68085,benign-q0.999,0.999,2,500,0.5,100000,500000
0.8893242269417949,0.49958908733361707,0.9999853126927709,0.6662980505754326,0.11070564152845438,0.0967155067545935,68085,68197,547824,1,label-tuned upper bound,,2,500,auto,100000,500000
0.8893242269417949,0.0006843846241587772,8.812384337455571e-05,0.00015614224558572858,0.014221917759297167,0.158072813789075,6,8761,607260,68080,benign-q0.99,0.99,2,500,auto,100000,500000
0.8893242269417949,0.0018181818181818182,8.812384337455571e-05,0.00016810018771187626,0.005347220305801263,0.1695776699206419,6,3294,612727,68080,benign-q0.995,0.995,2,500,auto,100000,500000
0.8893242269417949,0.002890173410404624,7.343653614546309e-05,0.0001432336427180016,0.0028002292129651425,0.1802787453844728,5,1725,614296,68081,benign-q0.9975,0.9975,2,500,auto,100000,500000
0.8893242269417949,0.004379562043795621,4.4061921687277854e-05,8.724607756176296e-05,0.0011071051149230302,0.18781553341797352,3,682,615339,68083,benign-q0.999,0.999,2,500,auto,100000,500000
0.9963356556438159,0.9678809076949326,0.9998090650060218,0.9835859498042163,0.003667082778022178,0.10345551638489148,68073,2259,613762,13,label-tuned upper bound,,3,200,0.5,100000,500000
0.9963356556438159,0.8640667038935986,0.9999853126927709,0.9270707098214893,0.017387394260909936,0.03927113220292986,68085,10711,605310,1,benign-q0.99,0.99,3,200,0.5,100000,500000
0.9963356556438159,0.9241085366019194,0.9999118761566255,0.9605169409623512,0.009075989292572818,0.07212579393170632,68080,5591,610430,6,benign-q0.995,0.995,3,200,0.5,100000,500000
0.9963356556438159,0.9673587131062511,0.9998237523132509,0.9833233422651076,0.003728768986771555,0.1021315087466772,68074,2297,613724,12,benign-q0.9975,0.9975,3,200,0.5,100000,500000
0.9963356556438159,0.0010869565217391304,1.4687307229092619e-05,2.8982986986638843e-05,0.0014918322589651976,0.14153229715236917,1,919,615102,68085,benign-q0.999,0.999,3,200,0.5,100000,500000
0.9662643643155637,0.7595639998661208,0.9999412507710836,0.8633328895060202,0.03498419696731118,0.11149475218952731,68082,21551,594470,4,label-tuned upper bound,,3,200,auto,100000,500000
0.9662643643155637,0.0013712718546451835,0.00011749845783274095,0.00021645021645021648,0.009457469794049229,0.15762771158280708,8,5826,610195,68078,benign-q0.99,0.99,3,200,auto,100000,500000
0.9662643643155637,0.002555677254472435,0.00010281115060364833,0.00019767031415460643,0.004434913744823635,0.17403438948258843,7,2732,613289,68079,benign-q0.995,0.995,3,200,auto,100000,500000
0.9662643643155637,0.0027233115468409588,7.343653614546309e-05,0.00014301650410457366,0.0029723012689502467,0.19534213699719927,5,1831,614190,68081,benign-q0.9975,0.9975,3,200,auto,100000,500000
0.9662643643155637,0.005309734513274336,4.4061921687277854e-05,8.739858122969804e-05,0.000912306560977629,0.21082167163227294,3,562,615459,68083,benign-q0.999,0.999,3,200,auto,100000,500000
0.9971211126143191,0.9738472323561812,0.9997503157771054,0.9866287876042701,0.002967431305101612,0.10729590431926095,68069,1828,614193,17,label-tuned upper bound,,3,500,1.0,100000,500000
0.9971211126143191,0.8548881243564953,0.9999853126927709,0.9217616159428139,0.018760724066225015,0.028973157068153066,68085,11557,604464,1,benign-q0.99,0.99,3,500,1.0,100000,500000
0.9971211126143191,0.9175988571120516,0.9999706253855418,0.9570155463720447,0.009924986323518192,0.06319106660888602,68084,6114,609907,2,benign-q0.995,0.995,3,500,1.0,100000,500000
0.9971211126143191,0.9593021617203574,0.9998237523132509,0.9791438927564583,0.004688151864952656,0.09310060564332145,68074,2888,613133,12,benign-q0.9975,0.9975,3,500,1.0,100000,500000
0.9971211126143191,0.0010204081632653062,1.4687307229092619e-05,2.895780847305476e-05,0.0015892315359378982,0.13429527290332655,1,979,615042,68085,benign-q0.999,0.999,3,500,1.0,100000,500000
0.9959568248949673,0.9647118845837703,0.9997943776987928,0.9819398765218396,0.004042069994367075,0.10121205431725999,68072,2490,613531,14,label-tuned upper bound,,3,500,0.5,100000,500000
0.9959568248949673,0.8532596435822243,0.9999853126927709,0.9208141736543143,0.019007468901222523,0.03835105595469346,68085,11709,604312,1,benign-q0.99,0.99,3,500,0.5,100000,500000
0.9959568248949673,0.9243940525493923,0.9998678142349382,0.9606508103378937,0.009038652903066616,0.07591210547407423,68077,5568,610453,9,benign-q0.995,0.995,3,500,0.5,100000,500000
0.9959568248949673,0.003971756398940865,0.00013218576506183357,0.0002558562656356607,0.003663836135456421,0.10493497355682702,9,2257,613764,68077,benign-q0.9975,0.9975,3,500,0.5,100000,500000
0.9959568248949673,0.0,0.0,0.0,0.001473975724853536,0.14879390515403668,0,908,615113,68086,benign-q0.999,0.999,3,500,0.5,100000,500000
0.967971581453541,0.7727458458185781,0.9999412507710836,0.8717843651962354,0.03250213872579019,0.12285265273816304,68082,20022,595999,4,label-tuned upper bound,,3,500,auto,100000,500000
