dataset,seed,bootstrap,f1_minus_magic_cited,fpr_minus_magic_cited,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
trace,3,40,-0.03485816562376687,0.008688339910686467,0.9899157095387098,0.9160556838281957,0.9998968327659136,0.9561418343762331,0.010088339910686467,0.08887801218370184,67844,6217,610039,7
trace,3,41,-0.034316431872129405,0.00860022727789268,0.9900033784250308,0.9170627280438383,0.9998825619118921,0.9566835681278706,0.01000022727789268,0.08887801218370184,68113,6160,609826,8
trace,3,42,-0.034052878718856205,0.008557374254049446,0.9900456455489648,0.9175839683883714,0.9998389033713131,0.9569471212811438,0.009957374254049446,0.08887801218370184,68271,6132,609693,11
trace,3,43,-0.03316208637128437,0.008353388352447116,0.9902503058686085,0.9191862107940096,0.9998829056951742,0.9578379136287156,0.009753388352447117,0.08887801218370184,68313,6006,609780,8
trace,3,44,-0.03384758652255038,0.008448650841955771,0.9901542666894885,0.9180365512676779,0.9997499338060075,0.9571524134774496,0.009848650841955771,0.08887801218370184,67965,6068,610057,17
trace,3,45,-0.033625254725599074,0.008426745371542862,0.9901767462322444,0.9183956858779913,0.9998092023189257,0.9573747452744009,0.009826745371542862,0.08887801218370184,68122,6053,609919,13
trace,3,46,-0.034433408466229,0.008551265728321036,0.9900509034376019,0.9169104898136108,0.9998079848751164,0.956566591533771,0.009951265728321036,0.08887801218370184,67690,6134,610270,13
trace,3,47,-0.033559932411025395,0.008398670354355759,0.9902042614243786,0.918454181975362,0.9998823581312589,0.9574400675889746,0.009798670354355759,0.08887801218370184,67995,6037,610067,8
trace,3,48,-0.03362170599319403,0.008416415019910424,0.9901855592711989,0.9184270875489006,0.9997797292137801,0.957378294006806,0.009816415019910424,0.08887801218370184,68083,6047,609962,15
trace,3,49,-0.034915422149933484,0.008703813191432043,0.9898991241465322,0.9159999460327312,0.9998380065975495,0.9560845778500665,0.010103813191432044,0.08887801218370184,67893,6226,609977,11
trace,3,50,-0.0346298457104699,0.008652527010180761,0.98995021276011,0.9165611274285252,0.9997942477550961,0.9563701542895301,0.010052527010180761,0.08887801218370184,68029,6193,609871,14
trace,3,51,-0.03360184042195036,0.008446617498530477,0.9901568207262418,0.9184013994482945,0.9998535034646431,0.9573981595780496,0.009846617498530478,0.08887801218370184,68251,6064,609782,10
trace,3,52,-0.03435620931167516,0.008558119753813601,0.9900452782467699,0.9170148607899612,0.9998525639135435,0.9566437906883248,0.009958119753813601,0.08887801218370184,67816,6137,610144,10
trace,3,53,-0.033022287123940175,0.008202143613682406,0.9904004002135305,0.9194448224248197,0.9998816182781378,0.9579777128760598,0.009602143613682406,0.08887801218370184,67570,5920,610609,8
