dataset,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
wget,4,50,1.0,0.05,0.8927999999999999,0.9090909090909091,0.8,0.851063829787234,0.08,-0.03337470114154817,20,2,23,5
wget,4,50,1.0,0.1,0.8927999999999999,0.9090909090909091,0.8,0.851063829787234,0.08,-0.007093316305870179,20,2,23,5
wget,4,100,auto,auto,0.896,0.95,0.76,0.8444444444444444,0.04,0.010820546723168345,19,1,24,6
wget,4,100,auto,0.01,0.896,0.95,0.76,0.8444444444444444,0.04,-0.12741897558065318,19,1,24,6
wget,4,100,auto,0.05,0.896,0.95,0.76,0.8444444444444444,0.04,-0.031724242804825664,19,1,24,6
wget,4,100,auto,0.1,0.896,0.95,0.76,0.8444444444444444,0.04,-0.0004212266009288035,19,1,24,6
wget,4,100,0.5,auto,0.872,0.95,0.76,0.8444444444444444,0.04,0.03027176443048185,19,1,24,6
wget,4,100,0.5,0.01,0.872,0.95,0.76,0.8444444444444444,0.04,-0.12890034413474472,19,1,24,6
wget,4,100,0.5,0.05,0.872,0.95,0.76,0.8444444444444444,0.04,-0.021550409762877365,19,1,24,6
wget,4,100,0.5,0.1,0.872,0.95,0.76,0.8444444444444444,0.04,-0.004987577536325394,19,1,24,6
wget,4,100,1.0,auto,0.896,0.95,0.76,0.8444444444444444,0.04,0.010820546723168345,19,1,24,6
wget,4,100,1.0,0.01,0.896,0.95,0.76,0.8444444444444444,0.04,-0.12741897558065318,19,1,24,6
wget,4,100,1.0,0.05,0.896,0.95,0.76,0.8444444444444444,0.04,-0.031724242804825664,19,1,24,6
wget,4,100,1.0,0.1,0.896,0.95,0.76,0.8444444444444444,0.04,-0.0004212266009288035,19,1,24,6
wget,4,200,auto,auto,0.9039999999999999,0.9545454545454546,0.84,0.8936170212765957,0.04,0.001085616066279882,21,1,24,4
wget,4,200,auto,0.01,0.9039999999999999,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.14310147972295018,21,1,24,4
wget,4,200,auto,0.05,0.9039999999999999,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.03307612241301339,21,1,24,4
wget,4,200,auto,0.1,0.9039999999999999,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.010963121766095152,21,1,24,4
wget,4,200,0.5,auto,0.8832000000000001,0.95,0.76,0.8444444444444444,0.04,0.031086304768299766,19,1,24,6
wget,4,200,0.5,0.01,0.8832000000000001,0.95,0.76,0.8444444444444444,0.04,-0.12146380174123239,19,1,24,6
wget,4,200,0.5,0.05,0.8832000000000001,0.95,0.76,0.8444444444444444,0.04,-0.01778106998295137,19,1,24,6
wget,4,200,0.5,0.1,0.8832000000000001,0.95,0.76,0.8444444444444444,0.04,-0.0008667263912707224,19,1,24,6
wget,4,200,1.0,auto,0.9039999999999999,0.9545454545454546,0.84,0.8936170212765957,0.04,0.001085616066279882,21,1,24,4
wget,4,200,1.0,0.01,0.9039999999999999,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.14310147972295018,21,1,24,4
wget,4,200,1.0,0.05,0.9039999999999999,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.03307612241301339,21,1,24,4
wget,4,200,1.0,0.1,0.9039999999999999,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.010963121766095152,21,1,24,4
trace,0,50,auto,auto,0.9022392865357898,0.5305836139169473,0.9998531269277091,0.6932735882682418,0.09776939422519687,0.0963742436647348,68076,60228,555793,10
trace,0,50,auto,0.01,0.9022392865357898,0.5305836139169473,0.9998531269277091,0.6932735882682418,0.09776939422519687,-0.04867051186854576,68076,60228,555793,10
trace,0,50,auto,0.05,0.9022392865357898,0.5305836139169473,0.9998531269277091,0.6932735882682418,0.09776939422519687,-0.021855527834366617,68076,60228,555793,10
trace,0,50,auto,0.1,0.9022392865357898,0.5305836139169473,0.9998531269277091,0.6932735882682418,0.09776939422519687,0.04655242484151667,68076,60228,555793,10
trace,0,50,0.5,auto,0.9890920126013717,0.9070690918782064,0.9997796903915636,0.951170605948397,0.011321042626793567,0.09653717336066558,68071,6974,609047,15
trace,0,50,0.5,0.01,0.9890920126013717,0.9070690918782064,0.9997796903915636,0.951170605948397,0.011321042626793567,0.012875078715694155,68071,6974,609047,15
trace,0,50,0.5,0.05,0.9890920126013717,0.9070690918782064,0.9997796903915636,0.951170605948397,0.011321042626793567,0.10259936682842069,68071,6974,609047,15
trace,0,50,0.5,0.1,0.9890920126013717,0.9070690918782064,0.9997796903915636,0.951170605948397,0.011321042626793567,0.14036718587489988,68071,6974,609047,15
trace,0,50,1.0,auto,0.9907040939114603,0.9200297337478037,0.9998090650060218,0.9582617753878206,0.009605192030791158,0.09621490970393987,68073,5917,610104,13
trace,0,50,1.0,0.01,0.9907040939114603,0.9200297337478037,0.9998090650060218,0.9582617753878206,0.009605192030791158,0.03279210298890611,68073,5917,610104,13
trace,0,50,1.0,0.05,0.9907040939114603,0.9200297337478037,0.9998090650060218,0.9582617753878206,0.009605192030791158,0.1184279367547314,68073,5917,610104,13
trace,0,50,1.0,0.1,0.9907040939114603,0.9200297337478037,0.9998090650060218,0.9582617753878206,0.009605192030791158,0.15010606361654316,68073,5917,610104,13
trace,0,100,auto,auto,0.9060965844635317,0.5404615787676943,0.9998531269277091,0.7016516787343142,0.09396270581684715,0.1067799148278995,68076,57883,558138,10
trace,0,100,auto,0.01,0.9060965844635317,0.5404615787676943,0.9998531269277091,0.7016516787343142,0.09396270581684715,-0.03742803929516314,68076,57883,558138,10
