dataset,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
wget,3,50,auto,0.05,0.9216,1.0,0.8,0.8888888888888888,0.0,-0.011004757558033873,20,0,25,5
wget,3,50,auto,0.1,0.9216,1.0,0.8,0.8888888888888888,0.0,0.005621955426849623,20,0,25,5
wget,3,50,0.5,auto,0.9056,0.8148148148148148,0.88,0.8461538461538461,0.2,0.004862396720218709,22,5,20,3
wget,3,50,0.5,0.01,0.9056,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.13164190205826853,22,5,20,3
wget,3,50,0.5,0.05,0.9056,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.0412604788383808,22,5,20,3
wget,3,50,0.5,0.1,0.9056,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.02761157174394102,22,5,20,3
wget,3,50,1.0,auto,0.9216,1.0,0.8,0.8888888888888888,0.0,0.020101905407956755,20,0,25,5
wget,3,50,1.0,0.01,0.9216,1.0,0.8,0.8888888888888888,0.0,-0.12269375920815195,20,0,25,5
wget,3,50,1.0,0.05,0.9216,1.0,0.8,0.8888888888888888,0.0,-0.011004757558033873,20,0,25,5
wget,3,50,1.0,0.1,0.9216,1.0,0.8,0.8888888888888888,0.0,0.005621955426849623,20,0,25,5
wget,3,100,auto,auto,0.9168,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.009111543868952354,22,4,21,3
wget,3,100,auto,0.01,0.9168,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.15976275724862937,22,4,21,3
wget,3,100,auto,0.05,0.9168,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.03641667735806625,22,4,21,3
wget,3,100,auto,0.1,0.9168,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.016564540250911197,22,4,21,3
wget,3,100,0.5,auto,0.8912,0.95,0.76,0.8444444444444444,0.04,0.024436206100966973,19,1,24,6
wget,3,100,0.5,0.01,0.8912,0.95,0.76,0.8444444444444444,0.04,-0.12269977644713392,19,1,24,6
wget,3,100,0.5,0.05,0.8912,0.95,0.76,0.8444444444444444,0.04,-0.02527078023037821,19,1,24,6
wget,3,100,0.5,0.1,0.8912,0.95,0.76,0.8444444444444444,0.04,-0.003112925070388184,19,1,24,6
wget,3,100,1.0,auto,0.9168,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.009111543868952354,22,4,21,3
wget,3,100,1.0,0.01,0.9168,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.15976275724862937,22,4,21,3
wget,3,100,1.0,0.05,0.9168,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.03641667735806625,22,4,21,3
wget,3,100,1.0,0.1,0.9168,0.8461538461538461,0.88,0.8627450980392157,0.16,-0.016564540250911197,22,4,21,3
