dataset,n_estimators,max_samples,contamination,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
wget,50,1.0,0.1,0.89664,0.017030795636141034,0.9271974402409185,0.040803166360007866,0.8,0.028284271247461877,0.8584207009970193,0.02427396634581967,0.064,0.03577708763999663
wget,50,1.0,auto,0.89664,0.017030795636141034,0.9271974402409185,0.040803166360007866,0.8,0.028284271247461877,0.8584207009970193,0.02427396634581967,0.064,0.03577708763999663
wget,50,auto,0.01,0.89664,0.017030795636141034,0.9271974402409185,0.040803166360007866,0.8,0.028284271247461877,0.8584207009970193,0.02427396634581967,0.064,0.03577708763999663
wget,50,auto,0.05,0.89664,0.017030795636141034,0.9271974402409185,0.040803166360007866,0.8,0.028284271247461877,0.8584207009970193,0.02427396634581967,0.064,0.03577708763999663
wget,50,auto,0.1,0.89664,0.017030795636141034,0.9271974402409185,0.040803166360007866,0.8,0.028284271247461877,0.8584207009970193,0.02427396634581967,0.064,0.03577708763999663
wget,50,auto,auto,0.89664,0.017030795636141034,0.9271974402409185,0.040803166360007866,0.8,0.028284271247461877,0.8584207009970193,0.02427396634581967,0.064,0.03577708763999663
wget,100,0.5,0.01,0.88384,0.01237287355467594,0.927142857142857,0.08197187173111299,0.784,0.05366563145999495,0.845431675242996,0.011902557292812461,0.072,0.09549869109050658
wget,100,0.5,0.05,0.88384,0.01237287355467594,0.927142857142857,0.08197187173111299,0.784,0.05366563145999495,0.845431675242996,0.011902557292812461,0.072,0.09549869109050658
wget,100,0.5,0.1,0.88384,0.01237287355467594,0.927142857142857,0.08197187173111299,0.784,0.05366563145999495,0.845431675242996,0.011902557292812461,0.072,0.09549869109050658
wget,100,0.5,auto,0.88384,0.01237287355467594,0.927142857142857,0.08197187173111299,0.784,0.05366563145999495,0.845431675242996,0.011902557292812461,0.072,0.09549869109050658
wget,100,1.0,0.01,0.90464,0.007639895287240472,0.9219580419580419,0.04622359108328082,0.808,0.052153619241621166,0.8592629675983868,0.020607822266716664,0.072,0.052153619241621194
wget,100,1.0,0.05,0.90464,0.007639895287240472,0.9219580419580419,0.04622359108328082,0.808,0.052153619241621166,0.8592629675983868,0.020607822266716664,0.072,0.052153619241621194
wget,100,1.0,0.1,0.90464,0.007639895287240472,0.9219580419580419,0.04622359108328082,0.808,0.052153619241621166,0.8592629675983868,0.020607822266716664,0.072,0.052153619241621194
wget,100,1.0,auto,0.90464,0.007639895287240472,0.9219580419580419,0.04622359108328082,0.808,0.052153619241621166,0.8592629675983868,0.020607822266716664,0.072,0.052153619241621194
wget,100,auto,0.01,0.90464,0.007639895287240472,0.9219580419580419,0.04622359108328082,0.808,0.052153619241621166,0.8592629675983868,0.020607822266716664,0.072,0.052153619241621194
wget,100,auto,0.05,0.90464,0.007639895287240472,0.9219580419580419,0.04622359108328082,0.808,0.052153619241621166,0.8592629675983868,0.020607822266716664,0.072,0.052153619241621194
wget,100,auto,0.1,0.90464,0.007639895287240472,0.9219580419580419,0.04622359108328082,0.808,0.052153619241621166,0.8592629675983868,0.020607822266716664,0.072,0.052153619241621194
wget,100,auto,auto,0.90464,0.007639895287240472,0.9219580419580419,0.04622359108328082,0.808,0.052153619241621166,0.8592629675983868,0.020607822266716664,0.072,0.052153619241621194
wget,200,0.5,0.01,0.88704,0.004879344218232554,0.9800000000000001,0.027386127875258348,0.752,0.01788854381999834,0.8506741836974395,0.012195886091392856,0.016,0.021908902300206645
wget,200,0.5,0.05,0.88704,0.004879344218232554,0.9800000000000001,0.027386127875258348,0.752,0.01788854381999834,0.8506741836974395,0.012195886091392856,0.016,0.021908902300206645
