variant,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
gaussian_edge0,2,100,auto,0.1,0.8512,0.95,0.76,0.8444444444444444,0.04,0.031411015727536906,19,1,24,6
gaussian_edge0,2,100,0.5,auto,0.8544,0.8148148148148148,0.88,0.8461538461538461,0.2,0.03716058944392209,22,5,20,3
gaussian_edge0,2,100,0.5,0.01,0.8544,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.09364070888244957,22,5,20,3
gaussian_edge0,2,100,0.5,0.05,0.8544,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.010792001458543865,22,5,20,3
gaussian_edge0,2,100,0.5,0.1,0.8544,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.0002767482713323943,22,5,20,3
gaussian_edge0,2,100,1.0,auto,0.8512,0.95,0.76,0.8444444444444444,0.04,0.037930014524436784,19,1,24,6
gaussian_edge0,2,100,1.0,0.01,0.8512,0.95,0.76,0.8444444444444444,0.04,-0.12555889972904488,19,1,24,6
gaussian_edge0,2,100,1.0,0.05,0.8512,0.95,0.76,0.8444444444444444,0.04,0.015309760176064224,19,1,24,6
gaussian_edge0,2,100,1.0,0.1,0.8512,0.95,0.76,0.8444444444444444,0.04,0.031411015727536906,19,1,24,6
gaussian_edge0,2,200,auto,auto,0.8576,0.9473684210526315,0.72,0.8181818181818182,0.04,0.04049555378101066,18,1,24,7
gaussian_edge0,2,200,auto,0.01,0.8576,0.9473684210526315,0.72,0.8181818181818182,0.04,-0.11568223100188058,18,1,24,7
gaussian_edge0,2,200,auto,0.05,0.8576,0.9473684210526315,0.72,0.8181818181818182,0.04,0.016107629595915385,18,1,24,7
gaussian_edge0,2,200,auto,0.1,0.8576,0.9473684210526315,0.72,0.8181818181818182,0.04,0.03517256375838129,18,1,24,7
gaussian_edge0,2,200,0.5,auto,0.8480000000000001,0.8333333333333334,0.8,0.8163265306122449,0.16,0.03222592884938946,20,4,21,5
gaussian_edge0,2,200,0.5,0.01,0.8480000000000001,0.8333333333333334,0.8,0.8163265306122449,0.16,-0.09989753159849202,20,4,21,5
gaussian_edge0,2,200,0.5,0.05,0.8480000000000001,0.8333333333333334,0.8,0.8163265306122449,0.16,-0.01197722557203551,20,4,21,5
gaussian_edge0,2,200,0.5,0.1,0.8480000000000001,0.8333333333333334,0.8,0.8163265306122449,0.16,-0.0017683271372288534,20,4,21,5
gaussian_edge0,2,200,1.0,auto,0.8576,0.9473684210526315,0.72,0.8181818181818182,0.04,0.04049555378101066,18,1,24,7
gaussian_edge0,2,200,1.0,0.01,0.8576,0.9473684210526315,0.72,0.8181818181818182,0.04,-0.11568223100188058,18,1,24,7
gaussian_edge0,2,200,1.0,0.05,0.8576,0.9473684210526315,0.72,0.8181818181818182,0.04,0.016107629595915385,18,1,24,7
gaussian_edge0,2,200,1.0,0.1,0.8576,0.9473684210526315,0.72,0.8181818181818182,0.04,0.03517256375838129,18,1,24,7
gaussian_edge0,2,500,auto,auto,0.8464,0.8,0.8,0.8,0.2,0.016551899402999615,20,5,20,5
gaussian_edge0,2,500,auto,0.01,0.8464,0.8,0.8,0.8,0.2,-0.14932218068537328,20,5,20,5
gaussian_edge0,2,500,auto,0.05,0.8464,0.8,0.8,0.8,0.2,-0.012376254630142025,20,5,20,5
