variant,pooling,fit_count,val_fraction,scaler,pca_dim,detector,detector_params,threshold_method,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
mask_edge0,global,105,0.65,robust,48,iforest,n=500;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.88,0.9794285714285713,0.03716482866630649,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=500;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.9,0.9794285714285713,0.03716482866630649,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=1.0;max_features=0.75;bootstrap=False,benign-q0.9,0.9817142857142857,0.03217300173773543,0.9644137931034482,0.05977683428190017,0.992,0.017888543819998333,0.9771851851851852,0.03348279250137281,0.14285714285714285,0.24743582965269673,24.8,0.44721359549995815,1.0,1.7320508075688772,6.0,1.7320508075688772,0.2,0.4472135954999579
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.9,0.9817142857142857,0.03217300173773543,0.9644137931034482,0.05977683428190017,0.992,0.017888543819998333,0.9771851851851852,0.03348279250137281,0.14285714285714285,0.24743582965269673,24.8,0.44721359549995815,1.0,1.7320508075688772,6.0,1.7320508075688772,0.2,0.4472135954999579
mask_edge0,global,95,0.55,robust,40,knn,k=10,benign-q0.88,0.9845714285714285,0.018691916838624135,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,robust,40,knn,k=15,benign-q0.88,0.9851428571428572,0.018670067717376608,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,robust,48,knn,k=10,benign-q0.9,0.9891428571428571,0.012999215046945463,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,robust,48,knn,k=15,benign-q0.9,0.9897142857142857,0.012873006086935734,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,robust,48,knn,k=5,benign-q0.9,0.9897142857142857,0.012873006086935734,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,standard,40,knn,k=10,benign-q0.88,0.9857142857142858,0.018735538640862852,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,standard,40,knn,k=15,benign-q0.88,0.9857142857142858,0.018735538640862852,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,standard,40,knn,k=5,benign-q0.88,0.9851428571428571,0.018670067717376608,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,standard,48,knn,k=10,benign-q0.9,0.9885714285714287,0.014142135623730935,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,standard,48,knn,k=15,benign-q0.9,0.9891428571428571,0.014055284429998661,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.55,standard,48,knn,k=5,benign-q0.9,0.9891428571428571,0.014055284429998661,0.9560643060643061,0.04688849597566458,1.0,0.0,0.9770653689632602,0.02468682914743163,0.08571428571428572,0.0931314629314664,25.0,0.0,1.2,1.3038404810405297,12.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.65,robust,40,knn,k=15,benign-q0.85,0.9848000000000001,0.02777048793233562,0.9560643060643061,0.04688849597566453,1.0,0.0,0.9770653689632602,0.024686829147431606,0.12,0.130384048104053,25.0,0.0,1.2,1.3038404810405297,8.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.65,standard,40,knn,k=10,benign-q0.88,0.9856,0.02794279871451674,0.9560643060643061,0.04688849597566453,1.0,0.0,0.9770653689632602,0.024686829147431606,0.12,0.130384048104053,25.0,0.0,1.2,1.3038404810405297,8.8,1.3038404810405297,0.0,0.0
mask_edge0,global,95,0.65,standard,40,knn,k=15,benign-q0.85,0.9856,0.02794279871451674,0.9560643060643061,0.04688849597566453,1.0,0.0,0.9770653689632602,0.024686829147431606,0.12,0.130384048104053,25.0,0.0,1.2,1.3038404810405297,8.8,1.3038404810405297,0.0,0.0
mask_edge0,global,100,0.6,standard,48,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.82,0.9784,0.04396362132490906,0.9560643060643061,0.046888495975664544,1.0,0.0,0.9770653689632602,0.024686829147431616,0.12,0.130384048104053,25.0,0.0,1.2,1.3038404810405297,8.8,1.3038404810405297,0.0,0.0
mask_edge0,global,100,0.6,standard,48,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.85,0.9784,0.04396362132490906,0.9560643060643061,0.046888495975664544,1.0,0.0,0.9770653689632602,0.024686829147431616,0.12,0.130384048104053,25.0,0.0,1.2,1.3038404810405297,8.8,1.3038404810405297,0.0,0.0
